,date_posted,funny,helpful,hour_played,is_early_access_review,recommendation,review,title
64451,2015-07-07,19,121,1,False,Not Recommended,There's a lot of hype surrounding this game and I know people can be defensive about new releases that they love. Before you judge this review helpful or not please read it instead of crucifying me based upon my recommendation of this game.Rocket League is essentially football with cars. There's actually a Top Gear episode that is pretty much exactly this game minus the rocket boosters! Two teams of between 1 and 4 players face off against each other and try to score as many goals in a 5 minute period using their custom vehicles to hit the ball and each other around the field.This game is undoubtedly a lot of fun. The physics are funny the cars drive well (though the rocket boost flying is tricky as all hell) it looks beautiful it runs fantastically at least for me so it certainly seems to be very well optimised and I've had no frame rate issues so far. Surprisingly they also didn't screw up the UI which is a very common mistake.So if all I'm doing is heaping praise on Rocket League why aren't I recommending it? Unfortunately there is simply not enough content to justify a 15 price. Sure there are tons of customisation options for your vehicle and they are absolutely great and really make you unique. The problem is there's only one arena to play in and after 2 or 3 games it becomes very very same y. Sure there are different skins for the arena and day/night versions but they don't change the gameplay at all. And really petty though it may seem that's all that's keeping me from recommending it.At first I honestly believed this was an Early Access title and that more would be added soon. I feel as though this game might have benefited from a free to play model with cosmetic microtransactions though it's hard to gauge how effective that may have been.I would compare this game to the Mario Strikers series as both are a kind of zany take on football. I know it's unfair to compare a AAA title from a Mario series to Rocket League but I think the developers could have taken some great inspiration from Mario Strikers Charged. Power ups characters with different abilities and hazardous arenas ensured that each game played very differently and was wildly unpredictable. To me that's what Rocket League is missing and why I can play Mario Strikers Charged again and again but got bored of Rocket League within the hour. To anyone that's played Rocket League so far imagine this one player presses a button in the arena and for a limited time the sides of the arena only reflect the ball. Players can fall and be knocked off the sides into the abyss. I think you get the picture more inventive arena design really would have helped this game.Recommending and not recommending is a thin line though so while on the whole I would not tell me friends to pick this up some people might enjoy this. If you and your friends intend on playing a couple of games every now and then then you may well enjoy this a lot. If however you're looking to sink more than a few hours a week into a multiplayer game then I do not believe this is for you.Essentially I would compare this game to a dolled up version of Air Hockey because that's really what it is. For what it is it's great and a lot of fun but for me and I imagine a lot of other people that fun ran out extremely quickly. Perhaps DLC will add in what this game is currently missing but for now I cannot recommend it at this price.5/10P.S. If you do get this game please please make sure you have a controller. It shouldn't have to be said but just in case racing games on keyboard/mouse are awkward and poor to play and you'll have a sub standard experience. I've been using the Xbox controller and it's worked great for me. If you have a different controller try to find information on if/how it works with this game.,Rocket League®
22877,2018-08-10,1,2,387,False,Recommended,WAIFU simulator,MONSTER HUNTER: WORLD
218459,2018-12-22,1,2,613,False,Not Recommended,game. Don t buy please.,PLAYERUNKNOWN'S BATTLEGROUNDS
137265,2015-04-14,1,3,161,False,Recommended,Perfect PortPerfect GameBuy it!12/10 would wait two years again...,Grand Theft Auto V
250151,2018-03-23,148,120,54,False,Recommended,Fallschirmjäger Simulator 2017.,PLAYERUNKNOWN'S BATTLEGROUNDS
250075,2017-09-14,2,2,788,True,Recommended,Im only posting this so i can get my badge.,PLAYERUNKNOWN'S BATTLEGROUNDS
384219,2016-08-09,4,3,62,True,Recommended,Best game ever it not only gave me Cancer but HIV and Chlamydia!,Rust
378261,2017-11-25,1,2,1145,False,Recommended,Nice Game..,Rust
297826,2017-04-01,3,3,79,True,Not Recommended,crashes low fps autism modeling 5 secs to take items on ground rigged scuffed jump horrible car physics unreal blueprint game...without this it's a enjoyable game,PLAYERUNKNOWN'S BATTLEGROUNDS
218590,2017-11-24,1,3,324,True,Recommended,10/10 best game ever freezes randomly at match joining screen made me buy a new gpu now making me buy a new cpu too but thats okay what else is in ones life apart from games. ),PLAYERUNKNOWN'S BATTLEGROUNDS
50320,2016-05-12,1,2,121,False,Recommended,Product received for free. *tries to aerial**misses**tries again**misses*10/10 would miss again,Rocket League®
242415,2018-01-21,1,2,553,False,Not Recommended,I had lot's of fun with this game but you either get killed by an hacker or a lagger i had 14 wins in a row doing around 20 kills per game now it's hard to get even just one win.,PLAYERUNKNOWN'S BATTLEGROUNDS
245141,2017-10-11,1,3,45,True,Not Recommended,T h e,PLAYERUNKNOWN'S BATTLEGROUNDS
246414,2017-09-18,1,2,163,True,Recommended,PlayerUnknown despite what people say about it is overall an amazing game.The concept of the game is quite simple but very enjoyable.I enjoy playing this game with friends but I occasionally play it alone.However $37 Canadian Dollars for this game is kind of overpriced.Still a good game though.,PLAYERUNKNOWN'S BATTLEGROUNDS
22832,2018-09-17,41,1007,328,False,Recommended,Ignore the connection issues negative reviewsIt's patched nowgame good,MONSTER HUNTER: WORLD
121024,2018-03-28,2,2,44,False,Recommended,My favorite GTA so far... I can say the game is fantastic and a must tryHere some pros/cons to keep it simple...Pros Still new updates (for free no DLC buying) Optimised(I get like 80 90 fps with on a GTX 1070 + i7 6700k on 2560x1080 RES on High to Ultra settings) Active players (still in the top 10 of the most played games on steam) Huge map with nice locations Nice idea with 3 different characters to make a better single player experience + every character has his own ability Lots of online content as well (freeroam missions new racing stuff own office heists etc.) Many vehicles Customizable Apartments/houses/cars/outfits/weapons Fun with friends!Cons Everything is expensive if you're playing multiplayer feels like you have to buy in game money (shark cards from steam) Hackers in online... Spawning crap to block the road freezing you deleting your weapons (its temporary don't worry) spawning money (because everything is expensive) and also trying to crash your game by spawning alot of stuff if you want to report them.. could be better for the modding communityStill a great game and I think the number of hackers have reduced by now.,Grand Theft Auto V
245461,2017-03-27,1,3,192,True,Recommended,Its DAY Z but where those 2 friendly people that dont want to kill you and just talk doesnt exist.,PLAYERUNKNOWN'S BATTLEGROUNDS
52462,2015-12-27,1,3,1031,False,Recommended,Wanna play football with cars?Buy it!Wanna have fun with friends?Buy it!Wanna great teammates in game?Buy it!Best GAME Of Earth!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Rocket League®
43561,2017-11-12,4,3,949,False,Recommended,800+ hours fаggot.,Rocket League®
27902,2018-08-09,1,5,2,False,Not Recommended,Worst port 2k18,MONSTER HUNTER: WORLD
3,2018-06-14,126,1086,676,False,Recommended,Out of all the reviews I wrote This one is probably the most serious one I wrote. For starters the community of this game sucks just like every online game You don't wanna talk to them because they're all just jerks who wanna say you suck or you camped or blah blah blah its rare to get a nice compliment out of people in this game.But you don't have to talk to the community either. Unlike most online games this one doesn't have a mic system so you don't have to worry about hearing a twelve year old cry baby raging at you for nothing. Only time you can talk to people in the game is in the beginning before the match starts if your a survivor and at the end after the match is over as both killer and survivor The end chat is the only one the killer can talk to everyone in the match though. Mostly just to say GG for Good Game.As Survivor you can basically just play every man for himself and be sneaky and say screw you to the other players or you can try to be a good team mate and rescue them if they get on a hook but if someone is a jerk in the chat before the match then you know who not to save if they get hooked. I mostly play killer because I find it more fun than playing survivor and someones gotta play killer and from what I hear most people enjoy playing survivor more. Probably becuase as survivor it feels like a horror game and you get team mates while as killer you're by yourself.But what i'm really trying to say is this game is really great even though the community sucks Just ignore the community and if you get someone who is raging at the end just say gg to them and leave. After seeing that they didn't make you argue with them and waste your time it might make them even more mad even if you got the last word aka GG. So I give this game a 8/10. I wonder if anyone actually read this review I actually had to take my time to write this because I didn't wanna swear in it so you didn't see nothing but censor hearts that steam likes to do. So if you actually read this let me know by leaving a comment so I can be like someone read this peice of crap review yay!,Dead by Daylight
138468,2015-04-14,1,3,42,False,Recommended,Better FPS than CoDBetter Racing Game than Assetto CorsaBetter Heists than PaydayBetter than Kanye WestBetter Truck Sim than EurotruckIts a good game though it would be good if these were true...Who am I kidding it'll never be a better than Kanye West. He is the best.,Grand Theft Auto V
245725,2017-09-14,1,3,497,True,Recommended,"""WHERE THE AM I BEING SHOT FROM""",PLAYERUNKNOWN'S BATTLEGROUNDS
114413,2017-06-17,2,3,131,False,Not Recommended,Garbage,Grand Theft Auto V
121851,2016-08-30,1,3,341,False,Recommended,Grand Theft Auto V. Rockstars latest release. A game filled with action fun and comedy from time to time. GTA V takes us back to Los Santos where GTA San Andreas was set. From the last installment in the GTA franchise we see some improvements and some letdowns. But of course this is just me comparing the two and giving my own opinion. Also I will try keep this as spoiler free as possible.Pros 1. You now have 3 charcters to play with. Franklin an african american who lived his life in the hoods and now wants a change. Michael a criminal who faked his death in a bank job in front of his best friend to make it out with money and then move to sunny LS after living in the cold hard conditions of North Yankton. Which brings me on to Trevor a psychopathic drug addict who is hunting down for his best friend that faked his murder.2. Adding on to the first pro is that now during missions containing more than two of the protagonists you can switch between them whenever you see fit. During missions heists and whilst roaming about!(BEWARE YOU MIGHT FIND TREVOR WEARING A SKRT OR SLEEPING ON THE EDGE OF A BRIDGE)3. Better graphics and optimization in gameplay than on GTA IV.4. Little touches that make you appreciate the game more such as Improved gun sounds (Compared to IV) Car makes beeping noise when door open whilst engine running car engine makes little cracking sound when enine turned off and many many more.5. Online. Now as I see it online is its own game. GTA online is its own little experience meeting new players racing doing online heists and deathmatches are a thing. 6. Rockstar have decided to keep the DLC free in fear of ripping apart the community. The downside is that the stuff they add is usually like duper cars or other expensive vehicles. The problem is that they cost way too much and you would need to invest in ingame currency.7. The modding community. The modding community is awesome and very helpful.Now this part I hate doing. But here guys are the cons.1. Online modders and hackers dropping you money you try leaving before uts too late. But you still get banned.2. Shortest story in the franchise. The story mode is amazing. But it is the shortest and some saying that it is the worst in the franchise.3. The physics are flawed. Anyone who has played GTA IV and GTA V will see and acknowledge the differences between the two games in the way the physics work. In GTA IV you felt like you actually had a heavy or a light car which hanles differently. Also the collisions are a lot more realistic than in GTA V because you can actually see the damage on both cars. Where as in GTA V you can bearly see any cosmetic damage. Also you cant get by 80mph. I dont k know why but you cant. Though there is a semi realistic physics which brings back some of the GRA IV physics.4. The price. I bought this game on 25%off sale. And i dont think its worth full price. But I guess if you really want to go agead. You know what youre getting. Cough* Cough* no mans sky.ConclusionDo I reccomend this game? Yes. Although ot took a long time too decide I think its worth it. Although the physics arent as good and the story isnt that long I still believe it is a good game. I think people like me were too pretentious after GTA IV which wasnt perfect itself but yeah.Btw you think i dont have that many hours on GTA IV. But i played it on the ol 360 a while back.I hope this helped ),Grand Theft Auto V
24928,2018-09-07,8,14,0,False,Not Recommended,"Got this gifted by a friend and was super excited to try it out.But when booting it up I was ""welcomed"" by a pathetic EULA that violates GDPR like a sailor would a rum bottle telling you that your data will be processed in a country outside the European Economic Area and that by accepting this EULA you agree to that. No Capcom you absolute wafflestompers your little EULA doesn't supercede EU law.Oh I almost forgot to mention it's also plagued by the SSD eating Anti Consumer virus ""Denuvo"" collecting your Steam ID your unique hardware IDs and God knows what else which you can not block or opt out of. Automatic harvesting of your data without consent. Neat. You may also enjoy watching this https //www.youtube.com/watch?v ByfLg9wGB4oThose are quite the risky moves. Violating the rights of tens of thousand EU citizens wouldn't be something I'd be comfortable with but look at the big balls on Capcom. Speaking of balls my crystal ball predicts hectic days at their legal office when every Data Protection Agency from the EEA sends them their regards generating enough energy from personally accountable CEO's stressed breathing and rivers of sweat to power a middle sized city.It's amazing to watch history unfold in front of your eyes to see presumably lost basic human rights like the right to privacy finally get wrestled from out of bounds greedy medieval corporate overlords' hands. Never did it feel so good to be a downtrodden petty farmer tending your digital crops while watching the capitalist feudal castles burn to the ground.So this is what the French Revolution felt like heads rolling like a Chamillionaire themed drag race. Damn it feels good to have basic rights and some decency reinstated back into the world.",MONSTER HUNTER: WORLD
215160,2018-02-12,1,2,216,False,Recommended,Pubg is so realistic i firmly believe that if you hit a motorcycle with a car at high speeds it will send you hundreds of feet in the air,PLAYERUNKNOWN'S BATTLEGROUNDS
256493,2018-02-20,1,2,675,False,Not Recommended,CHINA NUMBAH #1,PLAYERUNKNOWN'S BATTLEGROUNDS
297873,2017-03-25,1,4,543,True,Not Recommended,its Gay But like in a good gay way!,PLAYERUNKNOWN'S BATTLEGROUNDS
245341,2017-08-27,1,3,159,True,Not Recommended,Please Ban Ghost from the game,PLAYERUNKNOWN'S BATTLEGROUNDS
243047,2018-03-26,1,2,401,False,Not Recommended,I have approximatley 280hours on this game. The game is fun in concept however in actual execution it is a broken POS.Lag and latencey issues are terrible and un avoiadable. You can be shot at run several meters behind cover and then seconds later the hits will register and you lose health or die. Gun play is never consistant due to variences in server latency. Lag in the beginning of the game even makes it difficult to pick up critical items. Its very frusrating when this is always present and you don't really get to enjoy the game for what it is.Cheating is huge and it seems like the developers don't mind it. Get used to being killed by people with digits as a name who hip fire headshots at 200 meters.The game was much funner in the beginning of early access. Unfortuanly the developers are in a virtual urinating contest with fort nite so you will see more useless features added (the emoji system) rather then the real gameplay issues being addressed. This WAS the best battle royal. Thankfully battle royal games are the flavor of the week and another good one will be around soon.,PLAYERUNKNOWN'S BATTLEGROUNDS
367587,2016-04-12,3,2,1995,True,Recommended,"""Rust would be crack or meth."" Phaedo82",Rust
285278,2017-11-23,2,9,159,True,Recommended,The game is a timesink. Really easy to pick up but not that easy to master. Buggy as hell at the moment but at least the game keeps getting patches and is clearly evolving for the better. If you need to something to play for 30min to hour or two this is perfect for it.,PLAYERUNKNOWN'S BATTLEGROUNDS
8542,2018-12-21,2,2,197,False,Not Recommended,killers extremely powerful please nerf them.,Dead by Daylight
242145,2017-10-27,5,2,552,True,Not Recommended,est game on my steam library and I have Dark Elf.,PLAYERUNKNOWN'S BATTLEGROUNDS
43121,2017-03-19,1,2,884,False,Recommended,best game ever,Rocket League®
113633,2016-11-23,1,5,1918,False,Recommended,The picnic? The picnic!,Grand Theft Auto V
259844,2017-04-21,1,4,1336,True,Not Recommended,"Fix your ******* **** ***** **** the leader boards we have been trying to play this game all night and it just keeps crashing take forever to load glitches out out builds and it is ******* broken since the update. I don't know what. You **** changed but you made it worse!!!!!! I am typing this from my phone because my computer is froze and for the hundredth time I have to restart it. Is is not my internet as my friends that I am trying to play with are have the same exact problems at the same exact time. We can't press play leave teams JOIN TEAMS we get kicked for l""oss of connection"" and some people are invisible!!!! We are playing on two different dedicated gaming pcs and a ******* MSI Dominator laptop WE DONT HAVE THIS PROBLEM WITH KING OF THE KILL!!!! please kindly fix your game. Or give me my money back...",PLAYERUNKNOWN'S BATTLEGROUNDS
244137,2018-10-11,1,2,955,False,Not Recommended,this game is worse than fortnite and i hate fortnite. nuff said,PLAYERUNKNOWN'S BATTLEGROUNDS
23449,2018-08-10,8,7,18,False,Recommended,Stole a dino egg and got my prostate turned inside out,MONSTER HUNTER: WORLD
134445,2018-05-09,2,2,141,False,Not Recommended,ERROR CODE 9.,Grand Theft Auto V
174213,2017-06-24,1,8,187,False,Recommended,This game is great and awesome!Why do people say that they get banned after one month? And they act innocent.I'm Sure that most of them had mods or where hacking or where playing with hackers when they got banned.I personally never play with modder Hackers enc.And i'm still not banned. Graphics 10/10 Gameplay 9 10 Physics 8 10 Cars 10000/10 Online 100....inf D,Grand Theft Auto V
122736,2015-04-19,1,27,277,False,Recommended,top game,Grand Theft Auto V
265589,2017-10-12,1,2,309,True,Not Recommended,Hacker everywhere please do something!!,PLAYERUNKNOWN'S BATTLEGROUNDS
6989,2018-03-17,1,3,577,False,Not Recommended,There's a game in this bug. Banning people for no reason don't listen to the community. Give No0b3 his account back you jerks.,Dead by Daylight
133560,2015-04-21,6,26,513,False,Recommended,AWESOME!,Grand Theft Auto V
366734,2014-01-12,2,2,1041,True,Recommended,Brilliant game had fun alot of gay partys and br&gt http //steamcommunity.com/sharedfiles/filedetails/?id 215838169,Rust
118157,2017-06-28,1,2,98,False,Not Recommended,SIngle player is far too short lack of DLC online is plagued with cheaters and it's a cash cow.,Grand Theft Auto V
292531,2018-07-09,1,2,1349,False,Recommended,"I first heard about this game about a week before the early access release back in december 2017. I immidiatly falled in love with the Battle Royal concept being on a plane with 99 other guys and know that only one of us would still be standing up at the end of the game. The first time I played the game (the day of the release) I remember that I had that feeling telling myself ""this is huge"" .... The last time in my life I had a such great feeling was the first time I played Counter Strike (Alpha version) back in 1999 I told myself this game is special. Ok to be honest I may have told myself the same thing the first time I played GTA... But honnestly I haven't played any game in my life that much I played Counter Strike and I am quite sure that PUBG is here for a long time. What I love with PUBG is that I can run a game in solo whenever I want to play and I don't need to rely on any third people... Random teamates use to be a mess... I love even more when I play the game in squad with some friends and that's what initially loved in Counter Strike the team play.Now many people complain about this game at the eSport level being too random... I agree that that part is still a problem at a high competition level but when it come to have fun you will for sure enjoy this game for a long time.",PLAYERUNKNOWN'S BATTLEGROUNDS
