text,span,label,ordinal
"I don't usually write negative reviews but here goes this one.This game started good. I bought it last year around June and i found it fun to play as it was something new. Then all of a sudden the Asians started invading the servers around mid August in which the game became literally unplayable. Everyone was lagging the servers were not connecting and if you could connect it would disconnect you after 10 15 minutes. Also there was a big problem with cheaters (idk if there is still this problem because the ""killcam"" is broken after 3 months that it was implemented. You will never know if the guy who killed you is legit or not)All in all good experience in the beginning which ended in a disasterGame should have not left the alpha stageAt least got my money back from items sold in market BAD SERVERS rubberbanding/disconnects/lag still exists CRASHES OPTIMIZATION still bad even after *big improvements* CHEATERS LOOTBOXES in an unfinished game are always a bad sign",lag,negative,0
"I don't usually write negative reviews but here goes this one.This game started good. I bought it last year around June and i found it fun to play as it was something new. Then all of a sudden the Asians started invading the servers around mid August in which the game became literally unplayable. Everyone was lagging the servers were not connecting and if you could connect it would disconnect you after 10 15 minutes. Also there was a big problem with cheaters (idk if there is still this problem because the ""killcam"" is broken after 3 months that it was implemented. You will never know if the guy who killed you is legit or not)All in all good experience in the beginning which ended in a disasterGame should have not left the alpha stageAt least got my money back from items sold in market BAD SERVERS rubberbanding/disconnects/lag still exists CRASHES OPTIMIZATION still bad even after *big improvements* CHEATERS LOOTBOXES in an unfinished game are always a bad sign",Performance and Optimization,negative,0
"I don't usually write negative reviews but here goes this one.This game started good. I bought it last year around June and i found it fun to play as it was something new. Then all of a sudden the Asians started invading the servers around mid August in which the game became literally unplayable. Everyone was lagging the servers were not connecting and if you could connect it would disconnect you after 10 15 minutes. Also there was a big problem with cheaters (idk if there is still this problem because the ""killcam"" is broken after 3 months that it was implemented. You will never know if the guy who killed you is legit or not)All in all good experience in the beginning which ended in a disasterGame should have not left the alpha stageAt least got my money back from items sold in market BAD SERVERS rubberbanding/disconnects/lag still exists CRASHES OPTIMIZATION still bad even after *big improvements* CHEATERS LOOTBOXES in an unfinished game are always a bad sign",cheaters,negative,0
"I don't usually write negative reviews but here goes this one.This game started good. I bought it last year around June and i found it fun to play as it was something new. Then all of a sudden the Asians started invading the servers around mid August in which the game became literally unplayable. Everyone was lagging the servers were not connecting and if you could connect it would disconnect you after 10 15 minutes. Also there was a big problem with cheaters (idk if there is still this problem because the ""killcam"" is broken after 3 months that it was implemented. You will never know if the guy who killed you is legit or not)All in all good experience in the beginning which ended in a disasterGame should have not left the alpha stageAt least got my money back from items sold in market BAD SERVERS rubberbanding/disconnects/lag still exists CRASHES OPTIMIZATION still bad even after *big improvements* CHEATERS LOOTBOXES in an unfinished game are always a bad sign",Support,negative,0
"I don't usually write negative reviews but here goes this one.This game started good. I bought it last year around June and i found it fun to play as it was something new. Then all of a sudden the Asians started invading the servers around mid August in which the game became literally unplayable. Everyone was lagging the servers were not connecting and if you could connect it would disconnect you after 10 15 minutes. Also there was a big problem with cheaters (idk if there is still this problem because the ""killcam"" is broken after 3 months that it was implemented. You will never know if the guy who killed you is legit or not)All in all good experience in the beginning which ended in a disasterGame should have not left the alpha stageAt least got my money back from items sold in market BAD SERVERS rubberbanding/disconnects/lag still exists CRASHES OPTIMIZATION still bad even after *big improvements* CHEATERS LOOTBOXES in an unfinished game are always a bad sign",Monetization,negative,0
"thats is the most hilarious money grabbing greedy d!ck sücking developement of a game ever... this game is faaaaaar from 1.0... when i logged in today and saw that it was instantly the funniest ive seen for 2017... 1.0? ahahahahaha shiiiit... i this is classic case of devs adding more sh!t ontop of sh!t sprinkled with sh!t instead of fixing the issues and optimising the game then eventually there is so much sh!t in the ""game"" that they get to pull out the card ""there is too much to work on that it is not simple and would take time""... when they should have done it from the get go instead of add more sh!t into it... Great Game Concept with 1 of the greediest and back stabbing developers to date....",Monetization,negative,0
"thats is the most hilarious money grabbing greedy d!ck sücking developement of a game ever... this game is faaaaaar from 1.0... when i logged in today and saw that it was instantly the funniest ive seen for 2017... 1.0? ahahahahaha shiiiit... i this is classic case of devs adding more sh!t ontop of sh!t sprinkled with sh!t instead of fixing the issues and optimising the game then eventually there is so much sh!t in the ""game"" that they get to pull out the card ""there is too much to work on that it is not simple and would take time""... when they should have done it from the get go instead of add more sh!t into it... Great Game Concept with 1 of the greediest and back stabbing developers to date....",Performance and Optimization,negative,0
"thats is the most hilarious money grabbing greedy d!ck sücking developement of a game ever... this game is faaaaaar from 1.0... when i logged in today and saw that it was instantly the funniest ive seen for 2017... 1.0? ahahahahaha shiiiit... i this is classic case of devs adding more sh!t ontop of sh!t sprinkled with sh!t instead of fixing the issues and optimising the game then eventually there is so much sh!t in the ""game"" that they get to pull out the card ""there is too much to work on that it is not simple and would take time""... when they should have done it from the get go instead of add more sh!t into it... Great Game Concept with 1 of the greediest and back stabbing developers to date....",Support,negative,0
DO NOT PURCHASE THIS GAMENow 3 out of 5 matches there is one or more than one hacks. The BattleEye is a joke. Blue Hole simply ignore the hacks or probably the company itself is making money of this grey market. game only run smooth with i7 + 980 tons of bug and now its even worse with hacks.DO NOT PURCHASE IT,hacks,negative,0
DO NOT PURCHASE THIS GAMENow 3 out of 5 matches there is one or more than one hacks. The BattleEye is a joke. Blue Hole simply ignore the hacks or probably the company itself is making money of this grey market. game only run smooth with i7 + 980 tons of bug and now its even worse with hacks.DO NOT PURCHASE IT,bugs,negative,0
micro transactions included now well before release after no discountsd at all during sales. ridiculous.,microtransactions,negative,0
micro transactions included now well before release after no discountsd at all during sales. ridiculous.,Monetization,negative,0
"Greetings Steam Community Are you looking for a game that is H1Z1 combined with DayZ's survival? Do you want to become the number one and become the king of a hundred players royal? Well PLAYERUNKNOWS'S BATTLEGROUNDS is the game that your are looking for.Pros Amazing graphics that make the game unique.Such an amazing community.Best seller on the market.Combined with your friends this game is at the top.Battle Eye Protector which gives hackers and instaban and IP ban too.Early access game which means that the game improves as you play.The map is huge so that you will not die right when you fall down.Cons Many desktops cannot play the game as it requires a ""monster"" build.As for a battle Royal game it can take 40 60 minutes to complete a match.Some weapons are inaccurate while shooting which will get you in trouble.Campers are everywhere.Players that have no idea about Battle Royal games have to get used to the game otherwise they cannot play at all.Those were my pros&amp cons. Please keep in mind that it is my opinion and many players may find some of them or even all of them wrong. Although that I do recommend the game. It is a must have on your libary. So what are you waiting for? Go ahead and buy yourself a game that you will not regret buying it.Signed by Raymon",Graphics and Visuals,positive,0
"Greetings Steam Community Are you looking for a game that is H1Z1 combined with DayZ's survival? Do you want to become the number one and become the king of a hundred players royal? Well PLAYERUNKNOWS'S BATTLEGROUNDS is the game that your are looking for.Pros Amazing graphics that make the game unique.Such an amazing community.Best seller on the market.Combined with your friends this game is at the top.Battle Eye Protector which gives hackers and instaban and IP ban too.Early access game which means that the game improves as you play.The map is huge so that you will not die right when you fall down.Cons Many desktops cannot play the game as it requires a ""monster"" build.As for a battle Royal game it can take 40 60 minutes to complete a match.Some weapons are inaccurate while shooting which will get you in trouble.Campers are everywhere.Players that have no idea about Battle Royal games have to get used to the game otherwise they cannot play at all.Those were my pros&amp cons. Please keep in mind that it is my opinion and many players may find some of them or even all of them wrong. Although that I do recommend the game. It is a must have on your libary. So what are you waiting for? Go ahead and buy yourself a game that you will not regret buying it.Signed by Raymon",graphics,positive,0
"Greetings Steam Community Are you looking for a game that is H1Z1 combined with DayZ's survival? Do you want to become the number one and become the king of a hundred players royal? Well PLAYERUNKNOWS'S BATTLEGROUNDS is the game that your are looking for.Pros Amazing graphics that make the game unique.Such an amazing community.Best seller on the market.Combined with your friends this game is at the top.Battle Eye Protector which gives hackers and instaban and IP ban too.Early access game which means that the game improves as you play.The map is huge so that you will not die right when you fall down.Cons Many desktops cannot play the game as it requires a ""monster"" build.As for a battle Royal game it can take 40 60 minutes to complete a match.Some weapons are inaccurate while shooting which will get you in trouble.Campers are everywhere.Players that have no idea about Battle Royal games have to get used to the game otherwise they cannot play at all.Those were my pros&amp cons. Please keep in mind that it is my opinion and many players may find some of them or even all of them wrong. Although that I do recommend the game. It is a must have on your libary. So what are you waiting for? Go ahead and buy yourself a game that you will not regret buying it.Signed by Raymon",friends,positive,0
"Greetings Steam Community Are you looking for a game that is H1Z1 combined with DayZ's survival? Do you want to become the number one and become the king of a hundred players royal? Well PLAYERUNKNOWS'S BATTLEGROUNDS is the game that your are looking for.Pros Amazing graphics that make the game unique.Such an amazing community.Best seller on the market.Combined with your friends this game is at the top.Battle Eye Protector which gives hackers and instaban and IP ban too.Early access game which means that the game improves as you play.The map is huge so that you will not die right when you fall down.Cons Many desktops cannot play the game as it requires a ""monster"" build.As for a battle Royal game it can take 40 60 minutes to complete a match.Some weapons are inaccurate while shooting which will get you in trouble.Campers are everywhere.Players that have no idea about Battle Royal games have to get used to the game otherwise they cannot play at all.Those were my pros&amp cons. Please keep in mind that it is my opinion and many players may find some of them or even all of them wrong. Although that I do recommend the game. It is a must have on your libary. So what are you waiting for? Go ahead and buy yourself a game that you will not regret buying it.Signed by Raymon",Multiplayer Experience,positive,0
"Greetings Steam Community Are you looking for a game that is H1Z1 combined with DayZ's survival? Do you want to become the number one and become the king of a hundred players royal? Well PLAYERUNKNOWS'S BATTLEGROUNDS is the game that your are looking for.Pros Amazing graphics that make the game unique.Such an amazing community.Best seller on the market.Combined with your friends this game is at the top.Battle Eye Protector which gives hackers and instaban and IP ban too.Early access game which means that the game improves as you play.The map is huge so that you will not die right when you fall down.Cons Many desktops cannot play the game as it requires a ""monster"" build.As for a battle Royal game it can take 40 60 minutes to complete a match.Some weapons are inaccurate while shooting which will get you in trouble.Campers are everywhere.Players that have no idea about Battle Royal games have to get used to the game otherwise they cannot play at all.Those were my pros&amp cons. Please keep in mind that it is my opinion and many players may find some of them or even all of them wrong. Although that I do recommend the game. It is a must have on your libary. So what are you waiting for? Go ahead and buy yourself a game that you will not regret buying it.Signed by Raymon",Performance and Optimization,negative,0
"Was fun at first.... Then they literally have done nothing to improve desync and tickrate the servers are 100% trash and run like garbage. Keep adding microtransactions instead of fixing game and go out and say theyre ""investigating"" server connection problems. Nah you're just raking in the money from your consumer because you know no matter how crap the game is someone will still pay for your microtransactions. Sad to see a potentially good game get ruined by greed. PGI is a waste of time and yet another money making scheme from Bluehole and Tencent two very garbage companies who make MOBILE games. Stick to mobile and sell this game to developers who actually care about their product. Servers right now are worse than they have ever been.",microtransactions,negative,0
"Was fun at first.... Then they literally have done nothing to improve desync and tickrate the servers are 100% trash and run like garbage. Keep adding microtransactions instead of fixing game and go out and say theyre ""investigating"" server connection problems. Nah you're just raking in the money from your consumer because you know no matter how crap the game is someone will still pay for your microtransactions. Sad to see a potentially good game get ruined by greed. PGI is a waste of time and yet another money making scheme from Bluehole and Tencent two very garbage companies who make MOBILE games. Stick to mobile and sell this game to developers who actually care about their product. Servers right now are worse than they have ever been.",Multiplayer Experience,negative,0
"Was fun at first.... Then they literally have done nothing to improve desync and tickrate the servers are 100% trash and run like garbage. Keep adding microtransactions instead of fixing game and go out and say theyre ""investigating"" server connection problems. Nah you're just raking in the money from your consumer because you know no matter how crap the game is someone will still pay for your microtransactions. Sad to see a potentially good game get ruined by greed. PGI is a waste of time and yet another money making scheme from Bluehole and Tencent two very garbage companies who make MOBILE games. Stick to mobile and sell this game to developers who actually care about their product. Servers right now are worse than they have ever been.",Monetization,negative,0
nice game to spend time with friends,friends,positive,0
nice game to spend time with friends,Multiplayer Experience,positive,0
Loooove this game they constantly update it. Excited for future improvements.,Support,positive,0
Although is a really fun game to play with friends at the time you reach 40+ hrs. you start to realize that you wasted 30USD to play a really buggy game.We know that this is in early access and it suppossed to have bugs but when a game sells so many copies and have a loot system with real money and you're still not getting support or any answer from devs when you report a bug you start to doubt on the future of this game.,friends,positive,0
Although is a really fun game to play with friends at the time you reach 40+ hrs. you start to realize that you wasted 30USD to play a really buggy game.We know that this is in early access and it suppossed to have bugs but when a game sells so many copies and have a loot system with real money and you're still not getting support or any answer from devs when you report a bug you start to doubt on the future of this game.,bugs,negative,0
Although is a really fun game to play with friends at the time you reach 40+ hrs. you start to realize that you wasted 30USD to play a really buggy game.We know that this is in early access and it suppossed to have bugs but when a game sells so many copies and have a loot system with real money and you're still not getting support or any answer from devs when you report a bug you start to doubt on the future of this game.,Support,negative,0
Shotgun to the head from 1 foot away.... No kill...... 2 shots from 9mm to your body with body armor lvl 2 on... you die............ Seems legit.......... Throw a greade under people... They dont die.... Real life they wouldnt have legs....... Good game IDEA....... But as far as weapons go NOTHING realistic... Play as a noob win like a pro.. Shoot for the heads though like pro gamers do . and you will be killed by a noob with a BB gun shooting your toe. Damage system is totally screwed over... If its ever fixed I might rewrite this. Till then RIP PUBG..,Gameplay Mechanics,negative,0
Complete and utter garbage you get more value from buying a hooker her will most likely have less bugs than this mess.,bugs,negative,0
WELP! They said that only paid content was coming after the full release and yet here we are with microtranactions in the lastest update. Honestly ing pathetic when this game has terrible 3rd and 1st person it is not optimized well and many other assortment of bugs and issues that have yet to be taken care of. Thank you gaming industry for forcing this microtransaction meta that forms around some of the most popular games.,microtransactions,negative,0
WELP! They said that only paid content was coming after the full release and yet here we are with microtranactions in the lastest update. Honestly ing pathetic when this game has terrible 3rd and 1st person it is not optimized well and many other assortment of bugs and issues that have yet to be taken care of. Thank you gaming industry for forcing this microtransaction meta that forms around some of the most popular games.,Monetization,negative,0
WELP! They said that only paid content was coming after the full release and yet here we are with microtranactions in the lastest update. Honestly ing pathetic when this game has terrible 3rd and 1st person it is not optimized well and many other assortment of bugs and issues that have yet to be taken care of. Thank you gaming industry for forcing this microtransaction meta that forms around some of the most popular games.,Performance and Optimization,negative,0
"Pathetic utterly incompetent developers.7 months of MILLIONS OF DOLLARS.0 progress in their game. 0 progress. Nothing has been fixed. EVERYTHING has gotten worse. worse lag worse gameplay worse servers.Instead of fixing the issues in their game theyre focusing on launching on xbox and freaking wherever the because all they care about is milking more and more dollars out of their pathetic work.They have fully betrayed all their customers and we continue to play a completely broken unfinished game even as it nears a supposed ""full launch"" in late 2017.Do NOT buy this game. do NOT support these losers any more. In fact the entire early access concept needs to be purged. it has produced nothing but cancerous games. When developers get paid early there is no longer a motive to finish their work.",Multiplayer Experience,negative,0
"Pathetic utterly incompetent developers.7 months of MILLIONS OF DOLLARS.0 progress in their game. 0 progress. Nothing has been fixed. EVERYTHING has gotten worse. worse lag worse gameplay worse servers.Instead of fixing the issues in their game theyre focusing on launching on xbox and freaking wherever the because all they care about is milking more and more dollars out of their pathetic work.They have fully betrayed all their customers and we continue to play a completely broken unfinished game even as it nears a supposed ""full launch"" in late 2017.Do NOT buy this game. do NOT support these losers any more. In fact the entire early access concept needs to be purged. it has produced nothing but cancerous games. When developers get paid early there is no longer a motive to finish their work.",Performance and Optimization,negative,0
"Pathetic utterly incompetent developers.7 months of MILLIONS OF DOLLARS.0 progress in their game. 0 progress. Nothing has been fixed. EVERYTHING has gotten worse. worse lag worse gameplay worse servers.Instead of fixing the issues in their game theyre focusing on launching on xbox and freaking wherever the because all they care about is milking more and more dollars out of their pathetic work.They have fully betrayed all their customers and we continue to play a completely broken unfinished game even as it nears a supposed ""full launch"" in late 2017.Do NOT buy this game. do NOT support these losers any more. In fact the entire early access concept needs to be purged. it has produced nothing but cancerous games. When developers get paid early there is no longer a motive to finish their work.",Support,negative,0
"Pathetic utterly incompetent developers.7 months of MILLIONS OF DOLLARS.0 progress in their game. 0 progress. Nothing has been fixed. EVERYTHING has gotten worse. worse lag worse gameplay worse servers.Instead of fixing the issues in their game theyre focusing on launching on xbox and freaking wherever the because all they care about is milking more and more dollars out of their pathetic work.They have fully betrayed all their customers and we continue to play a completely broken unfinished game even as it nears a supposed ""full launch"" in late 2017.Do NOT buy this game. do NOT support these losers any more. In fact the entire early access concept needs to be purged. it has produced nothing but cancerous games. When developers get paid early there is no longer a motive to finish their work.",lag,negative,0
"Pathetic utterly incompetent developers.7 months of MILLIONS OF DOLLARS.0 progress in their game. 0 progress. Nothing has been fixed. EVERYTHING has gotten worse. worse lag worse gameplay worse servers.Instead of fixing the issues in their game theyre focusing on launching on xbox and freaking wherever the because all they care about is milking more and more dollars out of their pathetic work.They have fully betrayed all their customers and we continue to play a completely broken unfinished game even as it nears a supposed ""full launch"" in late 2017.Do NOT buy this game. do NOT support these losers any more. In fact the entire early access concept needs to be purged. it has produced nothing but cancerous games. When developers get paid early there is no longer a motive to finish their work.",Monetization,negative,0
Such a BUGGY unoptimized piece of software every update fixes nothing.Seems like only streamers running 1080 sli rigs can even get a stable frame rate that!!.Frames drop from 45 to 6 in a second just from looking inside a house which shouldnt be more intensive than rendering a whole ing game worlds geography.Dont get me wrong i love the premise and the non stop action and tense environment make a really cool experience but unitl this thing becomes stable and you can exit a match without the game crashing every and i mean every time its not worth the money.If it was a cheaper game due to the early access state of the game i wouldnt mind but for the money the devs ask for i expect at least a stable ux and a stable frame rate i wouldnt even mind if there was a frame lock option or something like that.When it comes to the games content things can always be added and new ideas and concepts can be developed but when it comes to optimisation and how the user can use the gui it either works or it dosent and this simply dosent.The unreal 4 engine is really cool but there is alot of work to be done here which i hope does happen.,Performance and Optimization,negative,0
